"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01050",566.280342000043,-1.95636947471484,0.284409828929153,-6.87869853893895,6.04018264467458e-12,3.85967670994706e-09
"AT1G01060",131.822039880947,-1.37917386067381,0.455387239995906,-3.02857379290252,0.00245711060488683,0.0923584515601578
"AT1G01070",20.6897977824097,-3.2990697178457,0.555359816489712,-5.94041848165804,2.84295401388494e-09,7.96783518099977e-07
"AT1G01100",1870.46540927731,-1.29792008276572,0.276502446032117,-4.69406365618538,2.67830630644517e-06,0.00031117049633063
"AT1G01120",1509.76760527126,2.07881400429373,0.346747712147288,5.99517727577885,2.03263581226494e-09,6.49427142018649e-07
"AT1G01160",309.40982202251,-1.65587517671508,0.252401054796707,-6.56049230082964,5.36304238735696e-11,2.74158726841688e-08
"AT1G01170",197.143884540589,-1.21334918860948,0.358852173836251,-3.38119503537729,0.000721712962609427,0.0332489269743639
"AT1G01180",173.73156524096,-1.27304443116779,0.308900225288495,-4.12121561251321,3.76878496592974e-05,0.00301031699153638
"AT1G01210",118.145886139498,-1.01934086628673,0.301701707337153,-3.37863804379342,0.000728458493961025,0.0332489269743639
"AT1G09970",3.25446525586755,3.0283014024824,1.00953676380158,2.99969402905034,0.00270250934203876,0.10011034606161
"AT1G20440",2.24085981061711,4.03537417302255,1.27589282125503,3.1627846052564,0.001562679052034,0.0644227041451438
"AT1G20450",2.40235643401902,3.70262317876843,1.32519857548121,2.79401385367769,0.00520582484364006,0.164272695065975
"AT1G29910",3.39662156395441,5.19315430281736,1.32249093008241,3.92679766998007,8.60843370536598e-05,0.00536662354900377
"AT1G47128",1.18346777059035,-3.97449411870119,1.39834303305677,-2.84228835467715,0.00447909595229038,0.150639069132292
"AT1G79245",1.60989742116558,4.18021329465716,1.5249564231065,2.74120180178107,0.00612148977777715,0.186268188952362
"AT2G01008",15.9018652988481,-1.8259635089482,0.484751560220362,-3.76680274761393,0.00016535154027011,0.00899230929639151
"AT2G01010",40.1689153965188,-1.8358724185287,0.405075628135002,-4.53217199706927,5.83802836216364e-06,0.000596880019747611
"AT2G01020",54.8540407709326,-1.81233645807856,0.45422956927305,-3.98991298822538,6.60975383328103e-05,0.00456608940482873
"AT2G01060",532.389877267132,-1.25010031950383,0.251426787224496,-4.97202518993185,6.62570936108137e-07,9.96194889819057e-05
"AT2G01080",219.119360609087,-1.26592558278614,0.360350009529128,-3.51304439936144,0.000443003442662262,0.021775323066245
"AT2G01130",248.174619804712,-1.16823847362737,0.284645845085633,-4.10418242105702,4.05747217011208e-05,0.00314269662630499
"AT2G01140",2288.33285800981,-1.69465032457612,0.306493561519023,-5.52915472735286,3.21777445375036e-08,5.87473678841851e-06
"AT2G45180",1.86484333876147,4.26084615068492,1.45577473901687,2.92685814397522,0.00342405017854871,0.123265806427753
"AT3G01040",394.539005442542,1.07068468731446,0.246007673928727,4.35224101027294,1.34753010302607e-05,0.00127566183086468
"AT3G01060",360.371891911385,2.17689722220296,0.377246723315568,5.77048676015133,7.90428758246911e-09,1.68361325506592e-06
"AT3G01070",3.69213361449034,2.26380240424364,0.78756448867216,2.87443433116243,0.0040475193031806,0.13980350458013
"AT3G01130",440.754478743046,-1.0569655113913,0.269683571142555,-3.91928031401139,8.88137725755175e-05,0.00540495244531007
"AT3G01175",3.4666663566541,-3.85599996099524,1.26171427088577,-3.05615942529381,0.00224192015398742,0.0868234532362401
"AT3G01300",177.655901124434,-1.56796474507243,0.271226065667554,-5.78102529052023,7.42467268241571e-09,1.68361325506592e-06
"AT3G00650",1.83113721097003,-3.58162983590342,1.31852526566172,-2.71639075046918,0.00659979729810962,0.198459786987861
"AT3G41768",34.7627770290089,-1.84577419351733,0.403878826074451,-4.57011874442034,4.87447942656764e-06,0.000541703018013343
"AT3G06365",96.4027797267159,-1.43168580210526,0.506354843840557,-2.82743577852702,0.00469224260967098,0.155758079354792
"AT4G00040",492.837731661332,-1.09594802153013,0.322557605078215,-3.397681543625,0.000679594798077868,0.0321674871090191
"AT4G00050",363.247219231419,-3.01110255422665,0.463690783094887,-6.49377271234325,8.3713016057851e-11,3.05672098634096e-08
"AT4G00070",4.03618685995928,-2.73197805700703,0.957994424728605,-2.85176822170023,0.0043476789113671,0.148168897299391
"AT4G00090",264.509337185726,-1.19191173456357,0.305985904000799,-3.89531582657631,9.80708577863409e-05,0.0056970252841338
