"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",427.506763360054,-0.581619395409292,0.382052741155151,-1.52235367727174,0.127920485080825,1
"AT1G01020",140.663495719414,0.213625405327743,0.249572422098516,0.855965589192447,0.392016813430329,1
"AT1G03987",2.36827216477201,-0.777150751287001,1.22842676265817,-0.632639059088339,0.526969374293247,1
"AT1G01030",127.255133177873,-0.0883181018884504,0.54729085828552,-0.161373245234027,0.871799437688924,1
"AT1G01040",886.909481438213,-0.139959372632958,0.280759815169831,-0.498502154050419,0.618130151340117,1
"AT1G03993",0,NA,NA,NA,NA,NA
"AT1G01046",8.41195474617103,-0.73612496545926,0.558136443995103,-1.31889786696265,0.187203259366848,1
"AT1G01050",566.280342000043,-1.95636947471484,0.284409828929153,-6.87869853893895,6.04018264467458e-12,3.85967670994706e-09
"AT1G03997",0,NA,NA,NA,NA,NA
"AT1G01060",131.822039880947,-1.37917386067381,0.455387239995906,-3.02857379290252,0.00245711060488683,0.0923584515601578
"AT1G01070",20.6897977824097,-3.2990697178457,0.555359816489712,-5.94041848165804,2.84295401388494e-09,7.96783518099977e-07
"AT1G04003",0,NA,NA,NA,NA,NA
"AT1G01080",498.815136056299,-0.0756685621376753,0.320783310355031,-0.235886842285929,0.813520478519674,1
"AT1G01090",1625.95128745777,-0.0784713201944804,0.263949108335648,-0.297297159627806,0.766239649957516,1
"AT1G01100",1870.46540927731,-1.29792008276572,0.276502446032117,-4.69406365618538,2.67830630644517e-06,0.00031117049633063
"AT1G01110",20.0584847547345,-0.764611812589239,0.472180130749337,-1.61932229417579,0.105377936286557,1
"AT1G01120",1509.76760527126,2.07881400429373,0.346747712147288,5.99517727577885,2.03263581226494e-09,6.49427142018649e-07
"AT1G01130",8.78571378427583,1.2054486388534,0.616152175993549,1.95641383057619,0.0504164242151721,1
"AT1G01140",1806.91155184805,0.708089611839602,0.281534996812336,2.51510334365854,0.0118997496897062,0.313564538215351
"AT1G01150",0.270059118193338,-1.5547332203277,3.02301201372482,-0.51429938527172,0.607042691432817,1
"AT1G01160",309.40982202251,-1.65587517671508,0.252401054796707,-6.56049230082964,5.36304238735696e-11,2.74158726841688e-08
"AT1G04007",4.00887485507547,-0.415526309306557,0.647578370397313,-0.641661810062644,0.521092790721571,1
