"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT4G03330",0,NA,NA,NA,NA,NA
"AT4G04505",0,NA,NA,NA,NA,NA
"AT4G03340",0,NA,NA,NA,NA,NA
"AT4G04515",0,NA,NA,NA,NA,NA
"AT4G04535",0,NA,NA,NA,NA,NA
"AT4G04565",0,NA,NA,NA,NA,NA
"AT4G04585",0,NA,NA,NA,NA,NA
"AT4G03350",0,NA,NA,NA,NA,NA
"AT4G03360",0,NA,NA,NA,NA,NA
"AT4G04595",0,NA,NA,NA,NA,NA
"AT4G03364",0,NA,NA,NA,NA,NA
"AT4G03370",0,NA,NA,NA,NA,NA
"AT4G03376",0,NA,NA,NA,NA,NA
"AT4G04615",0,NA,NA,NA,NA,NA
"AT4G03380",0,NA,NA,NA,NA,NA
"AT4G03390",0.309144030775403,-0.671071055310535,3.20083245524294,-0.209655164615482,0.833936821190718,1
"AT4G04625",0,NA,NA,NA,NA,NA
"AT4G03400",0,NA,NA,NA,NA,NA
"AT4G03410",0.0549410712739802,-0.671069837204284,3.72499673437046,-0.180153134367163,0.85703234973502,NA
"AT4G03405",0,NA,NA,NA,NA,NA
"AT4G03415",0.106339405384651,-0.671069837204284,3.72499673437046,-0.180153134367163,0.85703234973502,NA
"AT4G03420",0.190527529064367,1.58362463366169,3.70619925544099,0.427290743026513,0.669167574404438,1
"AT4G03430",0.154950641931048,0.290720183921972,3.72499673437046,0.0780457553799988,0.937791656434741,1
"AT4G03435",0,NA,NA,NA,NA,NA
"AT4G03437",0,NA,NA,NA,NA,NA
"AT4G03438",0,NA,NA,NA,NA,NA
"AT4G03440",0,NA,NA,NA,NA,NA
"AT4G03443",0,NA,NA,NA,NA,NA
"AT4G03445",0,NA,NA,NA,NA,NA
"AT4G03450",0,NA,NA,NA,NA,NA
"AT4G04645",0,NA,NA,NA,NA,NA
"AT4G02805",0,NA,NA,NA,NA,NA
"AT4G03455",0,NA,NA,NA,NA,NA
"AT4G03460",0.0522223910740879,0.290720183921971,3.72499673437046,0.0780457553799987,0.937791656434742,NA
"AT4G03470",0,NA,NA,NA,NA,NA
"AT4G03480",0,NA,NA,NA,NA,NA
"AT4G03490",0,NA,NA,NA,NA,NA
"AT4G03495",0,NA,NA,NA,NA,NA
"AT4G03500",0,NA,NA,NA,NA,NA
"AT4G03505",0,NA,NA,NA,NA,NA
"AT4G03510",0,NA,NA,NA,NA,NA
"AT4G03520",0.155175460430664,-0.190174826641157,3.72499673437046,-0.051053689493582,0.959282738264958,1
