"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",427.506763360054,-0.0652312278241805,0.381790013007801,-0.170856296921647,0.864336761281671,1
"AT1G01020",140.663495719414,0.503440511364718,0.249245483036943,2.0198581142997,0.0433981070443112,1
"AT1G03987",2.36827216477201,-0.753611394269942,1.23654116210331,-0.609451118463436,0.542225463668804,1
"AT1G01030",127.255133177873,-0.546470335086711,0.548483340012553,-0.996329870428159,0.31908989498837,1
"AT1G01040",886.909481438213,0.236153917958883,0.28066947324907,0.841395094468706,0.400126632724915,1
"AT1G03993",0,NA,NA,NA,NA,NA
"AT1G01046",8.41195474617103,-0.132929673425041,0.546115995154162,-0.243409229183109,0.807688394923651,1
"AT1G01050",566.280342000043,-0.450530499426791,0.282878890569834,-1.59266214074595,0.111236005021369,1
"AT1G03997",0,NA,NA,NA,NA,NA
"AT1G01060",131.822039880947,-5.44493308365232,0.510379812926262,-10.6683942933279,1.43077463393639e-26,9.16840385426437e-23
"AT1G01070",20.6897977824097,-1.07747724389991,0.49854340724439,-2.16125061176813,0.0306759857393011,1
"AT1G04003",0,NA,NA,NA,NA,NA
"AT1G01080",498.815136056299,0.145966409237359,0.32075595885483,0.455069984540557,0.649058891052529,1
"AT1G01090",1625.95128745777,0.220069801064004,0.263918107640637,0.833856392164122,0.404361913213202,1
"AT1G01100",1870.46540927731,0.323008151700505,0.2760789421129,1.16998474866806,0.242007106445858,1
"AT1G01110",20.0584847547345,-0.402120099978082,0.469611151483054,-0.856283115739837,0.391841198162957,1
"AT1G01120",1509.76760527126,0.307702868677249,0.347194071764151,0.886256113515302,0.375479532136879,1
"AT1G01130",8.78571378427583,0.439336503454375,0.63435726868073,0.692569511133783,0.48857974943083,1
"AT1G01140",1806.91155184805,0.42445685473733,0.281632285149843,1.50713138059259,0.131776984632849,1
"AT1G01150",0.270059118193338,-0.402765660154786,3.02301201372482,-0.133233231732518,0.894008929997437,1
"AT1G01160",309.40982202251,0.00456172802624661,0.249197590468712,0.0183056666706389,0.985395006875465,1
"AT1G04007",4.00887485507547,0.31461932497157,0.621748118820924,0.506023766615025,0.612839965393509,1
"AT1G01170",197.143884540589,-0.203473461347021,0.357104558694528,-0.569786793231826,0.568822314076465,1
"AT1G04013",1.33474116008453,-0.500998925422209,1.27495281670678,-0.392954875550841,0.694352810030729,1
"AT1G01180",173.73156524096,-0.0931432867919983,0.306085414552428,-0.304304884727019,0.760895624045626,1
"AT1G08765",0.0552031378514484,0,3.72494504856527,0,1,1
"AT1G01183",0.0567634223861871,0.522139292195091,3.72494504856527,0.140173689916903,0.888522759049307,1
"AT1G01190",24.0730550871909,0.289327421361741,0.560613366982079,0.516090836219732,0.605790967903521,1
"AT1G01200",9.86753245082362,0.149076144487947,0.550574649517386,0.270764635855685,0.786572060653696,1
"AT1G01210",118.145886139498,0.539273379413091,0.296196191883752,1.82066277079193,0.0686581346727713,1
"AT1G04017",0,NA,NA,NA,NA,NA
"AT1G01220",257.40831148157,0.313342489068912,0.26839851366607,1.16745240049563,0.24302772023005,1
"AT1G04023",0,NA,NA,NA,NA,NA
"AT1G01225",9.73915934291535,0.753653698895063,0.518535975043352,1.45342605945914,0.146105495433076,1
"AT1G01230",378.744503554358,0.471772690472873,0.251787074533995,1.87369701699749,0.0609721973225107,1
"AT1G01240",21.6697391109949,-0.114091122695722,0.551521996263619,-0.206865951800023,0.836114547855199,1
"AT1G01250",0,NA,NA,NA,NA,NA
"AT1G01260",0,NA,NA,NA,NA,NA
"AT1G01270",0,NA,NA,NA,NA,NA
"AT1G01280",0,NA,NA,NA,NA,NA
"AT1G01290",0,NA,NA,NA,NA,NA
"AT1G01300",0.248559967017822,1.00303335554807,3.11022016276402,0.322495933746594,0.747077017750213,1
"AT1G01305",0,NA,NA,NA,NA,NA
"AT1G01310",0,NA,NA,NA,NA,NA
"AT1G01320",0.642461694866235,-0.328649667435159,1.81324961870155,-0.18124899299331,0.856172140522366,1
"AT1G01335",0,NA,NA,NA,NA,NA
"AT1G01340",0,NA,NA,NA,NA,NA
"AT1G01350",0,NA,NA,NA,NA,NA
"AT1G01355",0,NA,NA,NA,NA,NA
"AT1G01360",0,NA,NA,NA,NA,NA
"AT1G01370",0,NA,NA,NA,NA,NA
"AT1G01380",0,NA,NA,NA,NA,NA
"AT1G01390",0,NA,NA,NA,NA,NA
"AT1G01400",0,NA,NA,NA,NA,NA
"AT1G01410",0,NA,NA,NA,NA,NA
"AT1G01420",0,NA,NA,NA,NA,NA
"AT1G01430",0,NA,NA,NA,NA,NA
"AT1G01440",0.051398334110671,-0.439637383678927,3.72494504856527,-0.118025199820937,0.906047690860583,1
"AT1G01448",0,NA,NA,NA,NA,NA
"AT1G01450",0,NA,NA,NA,NA,NA
"AT1G01453",0,NA,NA,NA,NA,NA
"AT1G01460",0,NA,NA,NA,NA,NA
"AT1G01470",0.355402492835576,0.0412525346055028,2.57501059019011,0.0160203359017864,0.987218168072764,1
"AT1G01480",0,NA,NA,NA,NA,NA
"AT1G01490",0.0422807196896191,0,3.72494504856527,0,1,1
"AT1G01500",0,NA,NA,NA,NA,NA
"AT1G01510",0.0422807196896191,0,3.72494504856527,0,1,1
"AT1G01520",0,NA,NA,NA,NA,NA
"AT1G01530",0,NA,NA,NA,NA,NA
"AT1G01540",0.175245418217007,-0.920525721604363,3.72494504856527,-0.24712464468675,0.804811761419167,1
"AT1G01550",0.165347346976877,0.522132619580546,3.72494504856527,0.140171898584559,0.88852417435297,1
"AT1G01560",0,NA,NA,NA,NA,NA
"AT1G01570",0,NA,NA,NA,NA,NA
"AT1G01580",0,NA,NA,NA,NA,NA
"AT1G01590",0,NA,NA,NA,NA,NA
"AT1G01600",0,NA,NA,NA,NA,NA
"AT1G01610",0.119206445972609,1.00303096645095,3.72494504856527,0.269274030455102,0.787718815049707,1
"AT1G01620",0.219372777483052,-1.78150671985768,3.53373877164991,-0.504142166407477,0.614161477643746,1
"AT1G01630",0,NA,NA,NA,NA,NA
"AT1G01640",0,NA,NA,NA,NA,NA
"AT1G01650",0.0549410712739802,0.522139292195091,3.72494504856527,0.140173689916903,0.888522759049307,1
"AT1G04027",0,NA,NA,NA,NA,NA
"AT1G01660",0,NA,NA,NA,NA,NA
"AT1G01670",0,NA,NA,NA,NA,NA
"AT1G01680",0,NA,NA,NA,NA,NA
"AT1G01690",0,NA,NA,NA,NA,NA
"AT1G01695",0,NA,NA,NA,NA,NA
"AT1G08775",0,NA,NA,NA,NA,NA
"AT1G04033",0,NA,NA,NA,NA,NA
"AT1G04037",0,NA,NA,NA,NA,NA
"AT1G01700",0.0638355927429037,0.522139292195091,3.72494504856527,0.140173689916903,0.888522759049307,1
"AT1G01710",0,NA,NA,NA,NA,NA
"AT1G01715",0,NA,NA,NA,NA,NA
"AT1G01720",0.0422807196896191,0,3.72494504856527,0,1,1
"AT1G04043",0,NA,NA,NA,NA,NA
"AT1G01725",0,NA,NA,NA,NA,NA
"AT1G04047",0,NA,NA,NA,NA,NA
"AT1G01730",0,NA,NA,NA,NA,NA
"AT1G01740",0,NA,NA,NA,NA,NA
"AT1G01750",0,NA,NA,NA,NA,NA
"AT1G04053",0,NA,NA,NA,NA,NA
"AT1G01760",0,NA,NA,NA,NA,NA
"AT1G04057",0,NA,NA,NA,NA,NA
"AT1G01770",0,NA,NA,NA,NA,NA
"AT1G01780",0,NA,NA,NA,NA,NA
"AT1G01790",0,NA,NA,NA,NA,NA
"AT1G04063",0,NA,NA,NA,NA,NA
"AT1G01800",0,NA,NA,NA,NA,NA
"AT1G01810",0,NA,NA,NA,NA,NA
"AT1G01820",0.0476318822660917,0,3.72494504856527,0,1,1
"AT1G01830",0,NA,NA,NA,NA,NA
"AT1G04067",0,NA,NA,NA,NA,NA
"AT1G01840",0,NA,NA,NA,NA,NA
"AT1G01860",0,NA,NA,NA,NA,NA
"AT1G04073",0,NA,NA,NA,NA,NA
"AT1G01870",0,NA,NA,NA,NA,NA
"AT1G01880",0,NA,NA,NA,NA,NA
"AT1G01890",0,NA,NA,NA,NA,NA
"AT1G01900",0,NA,NA,NA,NA,NA
